City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,Constitución,-35.3333,-72.4167,53.92,85,100,4.36,CL,1668130759
318,Orlik,52.5178,99.825,2.57,86,20,2.59,RU,1668130760
319,Birao,10.2849,22.7882,69.64,32,10,5.82,CF,1668130760
320,Minot,48.2325,-101.2963,16.02,86,100,25.32,US,1668130624
321,Rūdsar,37.1376,50.288,55.38,84,68,2.42,IR,1668130760
322,Clyde River,70.4692,-68.5914,-1.97,60,75,9.22,CA,1668130761
323,Reconquista,-29.15,-59.65,62.29,92,2,7.07,AR,1668130761
324,Vavuniya,8.7514,80.4971,71.73,98,100,1.1,LK,1668130761
325,Valparaíso,-33.0393,-71.6273,59.47,100,75,3.44,CL,1668130541
326,Emba,48.8264,58.1442,30.31,91,41,5.64,KZ,1668130762
327,Xiaoyi,34.6178,109.703,64.47,66,49,5.86,CN,1668130762
328,Goderich,43.7501,-81.7165,61.92,44,72,14.97,CA,1668130762
329,Lagoa,39.05,-27.9833,61.45,69,47,21.45,PT,1668130763
330,Tiznit Province,29.5833,-9.5,60.69,58,0,1.3,MA,1668130763
331,Matonga,-2.3833,34.0833,65.97,79,99,2.42,TZ,1668130763
332,Predivinsk,57.0669,93.4378,28.02,92,100,8.81,RU,1668130763
333,Daru,-9.0763,143.2092,85.21,59,99,10.63,PG,1668130764
334,La Ronge,55.1001,-105.2842,10.65,79,75,9.22,CA,1668130764
335,Zinder,13.8072,8.9881,72.39,22,4,8.5,NE,1668130764
336,Tahlequah,35.9154,-94.97,70.88,60,100,3.44,US,1668130558
337,Anadyr,64.75,177.4833,3.7,84,0,8.95,RU,1668130765
338,Borogontsy,62.6683,131.1683,-0.99,94,99,6.6,RU,1668130765
339,‘Āhuimanu,21.4447,-157.8378,81.54,67,75,12.66,US,1668130766
340,Kencong,-8.2833,113.3667,83.71,71,93,3.06,ID,1668130766
341,Gachsaran,30.3586,50.7981,66.29,59,75,0.0,IR,1668130766
342,Baykit,61.67,96.37,11.19,95,100,1.43,RU,1668130767
343,Kyrylivka,46.3759,35.3675,47.7,88,9,6.46,UA,1668130767
344,Damphu,27.0721,90.1096,63.64,60,0,1.68,BT,1668130767
345,Niquelândia,-14.4739,-48.4597,71.58,83,92,2.44,BR,1668130767
346,Barrow,71.2906,-156.7887,26.62,93,75,17.27,US,1668130768
347,Norman Wells,65.282,-126.8329,6.84,78,75,4.61,CA,1668130768
348,Leer,8.3018,30.1418,70.03,43,99,3.18,SS,1668130768
349,Vestmannaeyjar,63.4427,-20.2734,45.18,84,100,14.12,IS,1668130769
350,Cayenne,4.9333,-52.3333,75.24,94,20,0.0,GF,1668130769
351,Yashan,22.1975,109.9419,76.6,73,56,5.44,CN,1668130770
